PowerOf2,N,Kernel_ms,CPU_ms,GPU_Total_ms
15,32768,0.7219,0.5615,2.4747
16,65536,0.6105,0.9253,1.8541
17,131072,0.9210,1.3285,2.3755
18,262144,1.9261,3.6772,6.2454
19,524288,3.7016,9.0085,8.1275
20,1048576,7.1632,13.2479,15.3497
21,2097152,14.1631,28.1321,31.5047
22,4194304,28.1406,47.4955,58.3752
23,8388608,56.1095,96.7690,105.9867
24,16777216,109.7897,187.6391,261.5849
25,33554432,172.9113,372.4740,388.2984
26,67108864,344.9864,737.2655,812.7809
27,134217728,746.0735,1514.6365,2147.1660
28,268435456,1405.6929,3366.5699,4130.0327
